stop_id,name,campus,shortname
1,"College Avenue Student Center","ca","CASC"
2,"The Yard","ca","Yard"
3,"Student Activities Center (NB)","ca","SAC North"
4,"Student Activities Center (SB)","ca","SAC South"
5,"Stadium West Lot","busch","Stadium"
6,"Hill Center (NB)","busch","Hill North"
7,"Hill Center (SB)","busch","Hill South"
8,"Allison Road Classrooms","busch","ARC"
9,"Science Building","busch","Science Building"
10,"Busch Student Cetner","busch","bsc"
11,"Werblin Recreation Center (SB)","busch","Werblin South"
12,"Livingston Plaza","livingston","Livi Plaza"
13,"Livingston Student Center","livingston","Livingston SC"
14,"Quads","livingston","Quads"
15,"Busch-Livingston Health Center","Busch-Livingston Health Center"
16,"College Hall","douglass","College Hall"
17,"Red Oak Lane","cook","Red Oak"
18,"Lipman Hall","cook","Lipman"
19,"Biel Road","cook","Biel"
20,"Henderson","cook","Henderson"
21,"Gibbons","cook","Gibbons"
22,"SoCam Apts (NB)","downtown","SoCam North"
23,"SoCam Apts (SB)","downtown","SoCam South"
24,"Jersey Mike's Arena","livingston","Jersey Mike's"
25,"The Bubble","busch","The Bubble"
26,"Rodkin Academic Center","busch","Rodkin"
27,"Werblin Recreation Center (NB)","busch","Werblin North"
